Unnamed: 0,time,BTC_open,BTC_close,BTC_volume,UNI_open,UNI_close,UNI_volume,perc_BTC_change_1hr,perc_BTC_change_2hr,perc_BTC_change_3hr,perc_BTC_change_4hr,perc_BTC_change_5hr,perc_BTC_change_6hr,perc_UNI_change_1hr,perc_UNI_change_2hr,perc_UNI_change_3hr,perc_UNI_change_4hr,perc_UNI_change_5hr,perc_UNI_change_6hr,lag_time,met_threshold
36323,2021-01-29 08:00:00,32323.72,36388.23,457905491.34,15.15,14.99,3503292.28,12.5743880964196,11.82890175542116,10.118670062485341,9.862769020634024,7.6010105938480965,6.820022551012067,-1.056105610561057,-0.5308560053085605,0.06675567423230833,0.6040268456375829,0.8748317631224818,-1.6404199475065617,0 days 00:00:00,0.0
36324,2021-01-29 09:00:00,36388.23,36974.0,985792588.74,14.99,14.7,7328271.71,1.609778766375822,14.386586692373275,13.62909967055121,11.891337030966678,11.631316548480704,9.333148814793663,-1.934623082054709,-2.970297029702977,-2.4552090245520968,-1.8691588785046804,-1.342281879194638,-1.0767160161507412,,
36325,2021-01-29 10:00:00,36974.0,36709.12,330784859.54,14.7,14.65,2826967.39,-0.7163953048087774,0.8818510820669194,13.56712655597809,12.815066135614895,11.089752745989067,10.831595038031166,-0.3401360544217614,-2.2681787858572373,-3.3003300330033,-2.7869940278699397,-2.202937249666222,-1.6778523489932886,,
36326,2021-01-29 11:00:00,36709.12,37141.43,204778800.2,14.65,14.93,2367435.11,1.1776637522228743,0.4528317195867374,2.069900074831881,14.904565439868922,14.143648276540294,12.398016496512597,1.9112627986348079,1.564625850340139,-0.40026684456304534,-1.4521452145214564,-0.9289980092899839,-0.33377837116155346,,
36327,2021-01-29 12:00:00,37141.43,37951.06,236689827.46,14.93,14.62,2688684.66,2.1798568337298736,3.383191969733938,2.642559636501319,4.2948777667943565,17.40932046187752,16.631816393765046,-2.076356329537847,-0.2047781569965948,-0.5442176870748304,-2.468312208138766,-3.498349834983506,-2.986065029860657,,
36328,2021-01-29 13:00:00,37951.06,38348.39,309578824.87,14.62,14.39,3581448.76,1.046953629226698,3.249632553189253,4.465566050071472,3.7171796397468473,5.386796774671359,18.63854160350355,-1.573187414500675,-3.6168787675820444,-1.7747440273037527,-2.1088435374149577,-4.002668445630418,-5.016501650165015,,
36567,2021-02-08 12:00:00,39459.41,43233.85,717360063.46,19.75,19.59,3650021.54,9.565373633310774,9.559654011875374,10.87197414807617,10.242315152748374,9.982706549633571,10.710965888284838,-0.8101265822784818,0.9793814432989757,3.4865293185419977,2.29765013054831,1.6606123508043606,2.1909233176838714,0 days 00:00:00,0.0
36568,2021-02-08 13:00:00,43233.85,43046.15,1280200408.62,19.59,19.15,8423643.18,-0.4341505556410014,9.089694954891616,9.084000165224458,10.39062285626215,9.763697528961213,9.505216018039325,-2.24604389994896,-3.037974683544311,-1.288659793814433,1.1621764395139929,0.0,-0.6227296315516399,,
36569,2021-02-08 14:00:00,43046.15,43674.28,505810693.82,19.15,19.45,3614141.35,1.4592013455326374,1.018715659142085,10.681533251510844,10.675755363396238,12.001444310322587,11.36537088021019,1.5665796344647556,-0.7146503318019427,-1.5189873417721556,0.2577319587628903,2.7469624933967225,1.5665796344647556,,
36570,2021-02-08 15:00:00,43674.28,43850.99,398064505.67,19.45,19.75,3112825.59,0.40460884529750496,1.8697142485448675,1.4274463181049095,11.129360525157356,11.123559259196366,12.45461206086311,1.542416452442163,3.133159268929511,0.8167432363450747,0.0,1.8041237113402135,4.331748547279452,,
36571,2021-02-08 16:00:00,43850.99,43250.82,378694297.25,19.75,19.62,4964897.99,-1.3686578113743801,-0.9695866766435511,0.4754664470573983,0.03925165119461062,9.608379851599393,9.602657985118137,-0.6582278481012608,0.8740359897172324,2.4543080939947908,0.15313935681470717,-0.6582278481012608,1.1340206185567134,,
36572,2021-02-08 17:00:00,43250.82,43145.37,230792456.03,19.62,19.48,2446996.94,-0.2438104063691673,-1.609131287571832,-1.2110331297962926,0.23049680401151126,-0.2046544547848409,9.341143215268549,-0.7135575942915421,-1.3670886075949347,0.1542416452442218,1.7232375979112369,-0.5615109749872356,-1.3670886075949347,,
36935,2021-02-23 20:00:00,45507.19,47810.01,258745297.9,21.16,22.8,10966086.19,5.060343211699073,2.0564335030217804,1.4220079559301246,1.0803395080912994,-1.632395751656111,1.8031135435588899,7.750472589792063,2.6102610261026187,0.48479506390480137,-1.2987012987013018,-3.8785834738617124,5.311778290993082,0 days 04:00:00,1.0
36936,2021-02-23 21:00:00,47810.01,47972.46,223199362.36,22.8,23.38,10110263.95,0.33978240121681025,5.417319768590407,2.403203303374585,1.7666220899250882,1.423792712829996,-1.2981599439216391,2.5438596491227994,10.491493383742906,5.220522052205221,3.040987219039214,1.2121212121212015,-1.4333895446880265,,
36937,2021-02-23 22:00:00,47972.46,48634.98,140536941.14,23.38,24.24,4909768.26,1.3810423730615524,1.7255173132153732,6.873177623140434,3.8174349323665555,3.1720622626203716,2.8244982665602936,3.6783575705731373,6.315789473684201,14.55576559546313,9.09090909090909,6.831203173204043,4.935064935064922,,
36938,2021-02-23 23:00:00,48634.98,48898.7,139392021.31,24.24,24.86,5899397.5,0.5422434634495458,1.930774448506493,2.277117281506519,7.4526904429827345,4.380378187208299,3.731506026345526,2.557755775577562,6.330196749358429,9.03508771929824,17.485822306238184,11.881188118811885,9.563684442485668,,
36939,2021-02-24 00:00:00,48898.7,48495.25,218567731.64,24.86,24.65,10785350.69,-0.8250730592019769,-0.2873035004846372,1.0897710894959336,1.4332563410883994,6.566127242749986,3.519163807692506,-0.8447304907481933,1.6914191419141922,5.431993156544053,8.114035087719289,16.493383742911146,10.936093609360935,,
36940,2021-02-24 01:00:00,48495.25,50195.32,239214479.94,24.65,26.17,12198255.61,3.505642305174218,2.651645135760261,3.2082669716323444,4.6336168710130785,4.9891434868974045,10.301954482357617,6.166328600405692,5.269509251810146,7.962046204620476,11.933276304533802,14.78070175438597,23.67674858223063,,
38974,2021-05-19 16:00:00,37451.48,39735.17,861338183.03,27.21,27.56,14783783.69,6.097729649135347,5.710328601152512,10.336180282466072,14.969925951987994,3.0794513867090716,0.957869738354197,1.2862918044836378,7.82472613458529,10.460921843687371,38.631790744466805,4.236006051437206,-6.098807495741065,0 days 01:00:00,1.0
38975,2021-05-19 17:00:00,39735.17,39458.65,499655812.12,27.56,27.0,11069734.26,-0.6959074291112806,5.3593876663886135,4.974682571079145,9.568342606882776,14.169841696044372,2.3621138266218127,-2.0319303338171215,-0.7717750826901906,5.633802816901413,8.216432865731466,35.8148893360161,2.118003025718603,,
38976,2021-05-19 18:00:00,39458.65,38121.19,362306303.27,27.0,25.52,7967281.8,-3.3895229563099574,-4.061842443356845,1.7882070348087686,1.4165416070189099,5.85449848137414,10.300028702574208,-5.481481481481483,-7.4020319303338145,-6.210951855935322,-0.15649452269170244,2.284569138276554,28.37022132796781,,
38977,2021-05-19 19:00:00,38121.19,39410.7,227787350.61,25.52,25.74,10410304.09,3.3826593555972275,-0.1215196161044647,-0.8165813811794468,5.231355342966403,4.84711773981189,9.435195577574868,0.8620689655172369,-4.666666666666672,-6.603773584905662,-5.402425578831321,0.7042253521126749,3.1663326653306583,,
38978,2021-05-19 20:00:00,39410.7,38341.56,332243379.65,25.74,25.14,5666593.91,-2.7128165701192812,0.5780774419686147,-2.8310395819421186,-3.507245596281583,2.376621698261309,2.0028077564738003,-2.3310023310023227,-1.4890282131661403,-6.8888888888888875,-8.780841799709718,-7.60749724366042,-1.6431924882629036,,
38979,2021-05-19 21:00:00,38341.56,38840.62,267540246.75,25.14,25.32,5233161.93,1.3016163139945403,-1.4465107191701607,1.8872181062553406,-1.56627254100178,-2.251280163140099,3.7091725080023523,0.7159904534606193,-1.6317016317016246,-0.7836990595611257,-6.222222222222221,-8.127721335268498,-6.9459757442116885,,
47551,2022-05-11 13:00:00,29453.96,31142.09,354813578.81,5.041,5.551,3112660.53,5.731419476362435,-1.1930597383346433,-2.241605867370162,-1.9130089141673559,-0.8298020518637369,1.8589482346615054,10.117040269787736,-2.4771609276177093,-5.787508486082827,-7.4987502082986195,-4.73657113437446,-2.1160289190618955,0 days 00:00:00,0.0
47552,2022-05-11 14:00:00,31142.09,31773.34,270784324.77,5.551,5.594,1931618.28,2.0269994724181966,7.8745947913285725,0.8097564194818764,-0.26004373405725406,0.07521387765335542,1.1803773373410664,0.7746352008647117,10.970045625867881,-1.7217146872803912,-5.057705363204345,-6.782202966172305,-3.99862708083061,,
47553,2022-05-11 15:00:00,31773.34,31005.74,168737699.33,5.594,5.459,791802.78,-2.4158618514767367,-0.43783188604232576,5.268493608329754,-1.625668028423007,-2.669623288165746,-2.342465037200625,-2.4132999642474195,-1.657359034408224,8.292005554453466,-4.093464511595231,-7.348947725729815,-9.0318280286619,,
47554,2022-05-11 16:00:00,31005.74,30291.19,148215360.52,5.459,5.276,744456.1,-2.304573282237427,-4.664759826949264,-2.7323150116129056,2.842504030018373,-3.892776599619521,-4.912673145367717,-3.3522623191060608,-5.684662138005015,-4.954062331111517,4.661773457647281,-7.308503162333105,-10.454854039375434,,
47555,2022-05-11 17:00:00,30291.19,29806.98,293913885.07,5.276,5.185,1187959.78,-1.59851758877746,-3.866251861752056,-6.188710409418715,-4.287156064348927,1.198548514359361,-5.429067469760251,-1.7247915087187302,-5.019234291994872,-7.311405076868086,-6.593406593406604,2.856576076175347,-8.907238229093474,,
47556,2022-05-11 18:00:00,29806.98,29862.11,190109770.05,5.185,5.142,1161697.73,0.18495667793248768,-1.4165174758733416,-3.688446074823568,-6.015200164666351,-4.110128767850839,1.385721987807417,-0.829315332690439,-2.539802880970422,-5.806924345118141,-8.08008580622095,-7.368041794271299,2.0035707200952184,,
47569,2022-05-12 07:00:00,26433.1,27883.64,587360047.25,3.992,4.256,1525064.34,5.487589423866292,3.6448641901701815,0.7122984075592236,-1.543809050996337,-2.878841497226071,-4.249128550741507,6.613226452905817,2.578934683056163,-1.6635859519408516,-7.175572519083964,-11.018189420865568,-14.002828854313995,0 days 04:00:00,1.0
47570,2022-05-12 08:00:00,27883.64,27723.38,272239318.78,4.256,4.285,480112.1,-0.5747456214468355,4.881304122482806,3.0491698713826594,0.13345888220330585,-2.109681697519071,-3.437041103219205,0.681390977443607,7.339679358717438,3.2778982887442782,-0.9935304990757889,-6.543075245365318,-10.411875392013384,,
47571,2022-05-12 09:00:00,27723.38,27654.63,177895926.91,4.285,4.28,516624.02,-0.24798563522918202,-0.8213059700957207,4.621213554218016,2.7936227328787124,-0.11485771188267781,-2.3524356251893463,-0.11668611435238958,0.5639097744360907,7.214428857715436,3.15738732224633,-1.1090573012939011,-6.652126499454737,,
47572,2022-05-12 10:00:00,27654.63,28275.43,215553372.55,4.28,4.525,545861.26,2.2448320588631967,1.9912795625930144,1.40508914904941,6.969784096454831,5.10116693045326,2.1273959842420997,5.7242990654205625,5.600933488914825,6.320488721804514,13.351703406813636,9.062424680645947,4.551756007393717,,
47573,2022-05-12 11:00:00,28275.43,28228.98,168033929.71,4.525,4.51,666205.19,-0.16427690047507934,2.0768674178609463,1.8237314497727135,1.2385040116713606,6.7940574506962905,4.928509991056773,-0.33149171270719485,5.373831775700923,5.250875145857634,5.968045112781945,12.975951903807609,8.700891781152079,,
47574,2022-05-12 12:00:00,28228.98,28300.03,123901349.81,4.51,4.539,372931.81,0.25169170122335016,0.0870013294227481,2.333786422020464,2.080013331707742,1.4933129247114059,7.06284923069939,0.6430155210642997,0.30939226519335566,6.051401869158866,5.9276546091015065,6.649436090225551,13.702404809619232,,
48764,2022-06-30 23:00:00,18873.41,19908.49,177443940.21,4.805,5.005,435996.81,5.484329540872592,5.908560624881304,6.270941527332292,5.429808660304405,5.037818593156787,4.321577969132939,4.162330905306976,5.0587741393786665,4.81675392670156,4.118993135011431,5.948348856900925,4.838709677419352,0 days 02:00:00,1.0
48765,2022-07-01 00:00:00,19908.49,20262.66,138108128.34,5.005,5.036,788471.03,1.7789897676820203,7.360884969912697,7.792663081497252,8.161490703122878,7.305394168457953,6.90643063812545,0.6193806193806133,4.80749219562955,5.709487825356829,5.465968586387418,4.763885999583923,6.60457239627433,,
48766,2022-07-01 01:00:00,20262.66,20380.14,64713307.87,5.036,5.111,632449.52,0.5797856747337199,2.3690897702437392,7.983348001235599,8.417629500457755,8.788595531798029,7.927535472063226,1.4892772041302658,2.1178821178821154,6.368366285119668,7.283795130142727,7.036649214659672,6.324110671936746,,
48767,2022-07-01 02:00:00,20380.14,20266.86,46030647.46,5.111,5.028,587177.69,-0.5558352396008999,0.02072778203849212,1.8000862948420446,7.383138500143857,7.81500610975427,8.183910181165405,-1.623948346703193,-0.15885623510722813,0.4595404595404533,4.640998959417271,5.541561712846334,5.298429319371712,,
48768,2022-07-01 03:00:00,20266.86,19703.32,72120813.61,5.028,4.907,394946.24,-2.7805984745540298,-3.3209781679615533,-2.760447048906709,-1.0305653517670195,4.397244589080616,4.817103694526108,-2.406523468575966,-3.9913911171981953,-2.561556791104042,-1.9580419580419555,2.122788761706562,3.0016792611251004,,
48769,2022-07-01 04:00:00,19703.32,19376.97,76853557.29,4.907,4.836,216110.97,-1.656319848634639,-4.390862718743799,-4.922291996031422,-4.371045065159257,-2.6698157419271897,2.668092305524022,-1.446912573874052,-3.8186157517899626,-5.380551751125014,-3.9714058776806853,-3.376623376623369,0.6451612903225928,,
51949,2022-11-10 13:00:00,16485.87,17546.72,212870358.97,5.38,5.769,1004477.77,6.434904557660605,7.979416691384535,7.6800341694875405,4.905220892177946,3.5461294244001573,4.745968914181211,7.230483271375469,6.793780081451314,7.912457912457913,5.446901846097607,5.0245767340251195,5.736803519061578,0 days 02:00:00,1.0
51950,2022-11-10 14:00:00,17546.72,17578.51,184283478.7,5.769,5.82,1310351.26,0.1811734614788247,6.6277363584694005,8.17504673828896,7.875121814713982,5.095281312140312,3.7337275313056875,0.8840353614144594,8.178438661710045,7.737874861162535,8.866442199775538,6.379089745933106,5.953031130529764,,
51951,2022-11-10 15:00:00,17578.51,17528.41,188855412.92,5.82,5.784,1008206.01,-0.2850070910446821,-0.10434998677816315,6.323839748827336,7.8667401843439375,7.567670068068959,4.795752308047355,-0.618556701030936,0.2600104004160111,7.509293680297397,7.07145501666049,8.193041526374854,5.721074757813923,,
51952,2022-11-10 16:00:00,17528.41,17772.45,161755310.77,5.784,5.799,662860.28,1.3922540606934735,1.1032789468504576,1.2864512569870583,7.804137725215604,9.368519254698144,9.065285322585007,0.2593360995850721,-0.3608247422680397,0.5200208008320376,7.78810408921934,7.349129951869681,8.473625140291812,,
51953,2022-11-10 17:00:00,17772.45,17185.28,107554182.09,5.799,5.603,794111.74,-3.303821363965024,-1.9575648903694116,-2.23699278266474,-2.0598721584433006,4.242481591811654,5.755178750109226,-3.3798930850146682,-3.1293222683264186,-3.7285223367697684,-2.8774484312705906,4.144981412639403,3.720844131803029,,
51954,2022-11-10 18:00:00,17185.28,17338.53,63710562.12,5.603,5.652,472097.58,0.8917515455087144,-2.4415316965303147,-1.0832699600249025,-1.3651896548683569,-1.1864895547430079,5.172065532483272,0.8745315009816238,-2.534919813760997,-2.282157676348542,-2.8865979381443325,-2.0280811232449296,5.055762081784391,,
